PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Rahul  Dravid,371,271,256,343,462,471,0,0,0,0,0,0
Rahul  Sharma,0,0,29,0,0,0,0,0,0,0,0,0
Rahul  Shukla,0,0,0,0,0,0,18,0,0,0,0,0
Rahul  Tewatia,0,0,0,0,0,0,16,0,0,19,50,26
Rahul  Tripathi,0,0,0,0,0,0,0,0,0,391,226,141
Raiphi  Gomez,0,0,0,46,0,0,0,0,0,0,0,0
Rajagopal  Sathish,0,0,112,0,0,109,0,0,24,0,0,0
Rajat  Bhatia,34,0,24,0,35,99,67,0,34,16,0,0
Rajesh  Bishnoi,0,19,0,0,0,0,0,0,0,0,0,0
Ramesh  Powar,28,23,0,0,0,0,0,0,0,0,0,0
Ramnaresh  Sarwan,73,0,0,0,0,0,0,0,0,0,0,0
Rashid  Khan,0,0,0,0,0,0,0,0,0,0,59,34
Ravi  Bopara,0,138,248,0,0,0,0,145,0,0,0,0
Ravi  Rampaul,0,0,0,0,0,38,13,0,0,0,0,0
Ravichandran  Ashwin,0,0,30,0,0,35,45,52,41,0,102,42
Ravindra  Jadeja,135,295,0,283,191,201,146,132,191,158,89,106
Richard  Levi,0,0,0,0,83,0,0,0,0,0,0,0
Ricky  Ponting,39,0,0,0,0,52,0,0,0,0,0,0
Rilee  Rossouw,0,0,0,0,0,0,39,14,0,0,0,0
Rinku  Singh,0,0,0,0,0,0,0,0,0,0,29,37
Rishabh  Pant,0,0,0,0,0,0,0,0,198,366,684,488
Rishi  Dhawan,0,0,0,0,0,0,82,36,14,0,0,0
Riyan  Parag,0,0,0,0,0,0,0,0,0,0,0,160
Rob  Quiney,0,103,0,0,0,0,0,0,0,0,0,0
Robin  Peterson,0,0,0,0,32,0,0,0,0,0,0,0
Robin  Uthappa,320,175,374,264,405,434,660,364,394,388,351,282
Roelof  van der Merwe,0,122,0,0,0,0,0,0,0,0,0,0
Rohan  Raje,0,12,0,0,0,0,0,0,0,0,0,0
Rohit  Sharma,404,362,404,372,433,538,390,482,489,333,286,405
Ross  Taylor,149,280,88,181,197,63,59,0,0,0,0,0
Ryan  Harris,0,21,45,31,0,0,0,0,0,0,0,0
Ryan  McLaren,0,0,66,90,0,0,0,0,0,0,0,0
Ryan  ten Doeschate,0,0,0,107,0,85,52,61,0,0,0,0
Sachin  Baby,0,0,0,0,0,0,0,0,119,15,0,0
Sachin  Rana,0,0,0,0,0,0,73,0,0,0,0,0
Sachin  Tendulkar,188,364,618,553,324,287,0,0,0,0,0,0
Salman  Butt,193,0,0,0,0,0,0,0,0,0,0,0
Sam  Billings,0,0,0,0,0,0,0,0,88,138,108,0
Sam  Curran,0,0,0,0,0,0,0,0,0,0,0,95
Sanath  Jayasuriya,518,221,33,0,0,0,0,0,0,0,0,0
Sanjay  Bangar,47,0,0,0,0,0,0,0,0,0,0,0
Sanju  Samson,0,0,0,0,0,206,339,204,291,386,441,342
Sarfaraz  Khan,0,0,0,0,0,0,0,111,66,0,51,180
Saurabh  Tiwary,26,13,419,187,191,109,0,109,170,52,0,0
Scott  Styris,112,14,0,0,0,0,0,0,0,0,0,0
Sean  Abbott,0,0,0,0,0,0,0,15,0,0,0,0
Shadab  Jakati,0,20,0,0,0,0,0,0,0,0,0,0
Shahid  Afridi,81,0,0,0,0,0,0,0,0,0,0,0
Shakib  Al Hasan,0,0,0,29,91,0,227,36,114,1,239,9
Shane  Warne,70,108,0,0,0,0,0,0,0,0,0,0
Shane  Watson,472,0,185,330,255,543,240,347,179,71,555,398
Shanthakumaran  Sreesanth,0,0,27,0,0,0,0,0,0,0,0,0
Shardul  Thakur,0,0,0,0,0,0,0,0,0,0,15,14
Shaun  Marsh,616,0,147,504,336,300,70,81,159,264,0,0
Shaun  Pollock,147,0,0,0,0,0,0,0,0,0,0,0
Sheldon  Jackson,0,0,0,0,0,0,0,0,0,38,0,0
Sherfane  Rutherford,0,0,0,0,0,0,0,0,0,0,0,73
Shikhar  Dhawan,340,40,191,400,569,311,377,353,501,479,497,521
Shimron  Hetmyer,0,0,0,0,0,0,0,0,0,0,0,90
Shivam  Dube,0,0,0,0,0,0,0,0,0,0,0,40
Shivam  Mavi,0,0,0,0,0,0,0,0,0,0,13,0
Shivnarine  Chanderpaul,25,0,0,0,0,0,0,0,0,0,0,0
Shoaib  Malik,52,0,0,0,0,0,0,0,0,0,0,0
Shreevats  Goswami,82,53,0,29,69,0,0,0,0,0,52,0
Shreyas  Gopal,0,0,0,0,0,0,11,0,0,0,50,63
Shreyas  Iyer,0,0,0,0,0,0,0,439,30,338,411,463
Shubman  Gill,0,0,0,0,0,0,0,0,0,0,203,296
Siddharth  Chitnis,0,0,0,0,66,0,0,0,0,0,0,0
Siddhesh  Lad,0,0,0,0,0,0,0,0,0,0,0,15
Simon  Katich,96,145,0,0,0,0,0,0,0,0,0,0
Simran  Singh,0,0,0,0,0,0,0,0,0,0,0,16
Sohail  Tanvir,36,0,0,0,0,0,0,0,0,0,0,0
Sourav  Ganguly,349,189,493,50,268,0,0,0,0,0,0,0
Sreenath  Aravind,0,0,0,0,0,0,0,0,0,32,0,0
Sridharan  Sriram,0,0,27,0,0,0,0,0,0,0,0,0
Srikkanth  Anirudha,0,0,0,83,0,0,0,0,0,0,0,0
Stephen  Fleming,196,0,0,0,0,0,0,0,0,0,0,0
Steve  Smith,0,0,0,0,362,159,147,293,270,472,0,319
Stuart  Binny,0,0,8,37,90,293,123,74,63,78,44,70
Subramaniam  Badrinath,192,177,356,396,196,124,0,0,0,0,0,0
Sunil  Narine,0,0,0,0,9,21,10,0,7,224,357,143
Sunny  Singh,0,0,0,43,0,0,0,0,0,0,0,0
Sunny  Sohal,0,115,0,249,0,0,0,0,0,0,0,0
Suresh  Raina,421,434,520,438,441,548,523,374,399,442,445,383
Suryakumar  Yadav,0,0,0,0,0,0,164,157,186,105,512,424
Swapnil  Asnodkar,311,98,0,0,0,0,0,0,0,0,0,0
Tatenda  Taibu,31,0,0,0,0,0,0,0,0,0,0,0
Thisara  Perera,0,0,0,0,0,233,0,12,150,0,0,0
Tillakaratne  Dilshan,104,418,44,226,285,76,0,0,0,0,0,0
Tim  Southee,0,0,0,0,0,0,0,13,30,0,52,9
Tirumalasetti  Suman,0,237,307,65,15,52,0,0,0,0,0,0
Tom  Curran,0,0,0,0,0,0,0,0,0,0,23,0
Travis  Birt,0,0,0,75,0,0,0,0,0,0,0,0
Travis  Head,0,0,0,0,0,0,0,0,54,151,0,0
Tyron  Henderson,0,11,0,0,0,0,0,0,0,0,0,0
Umar  Gul,39,0,0,0,0,0,0,0,0,0,0,0
Umesh  Yadav,0,0,0,0,0,38,0,29,0,0,0,25
Unmukt  Chand,0,0,0,0,36,158,0,102,0,0,0,0
Usman  Khawaja,0,0,0,0,0,0,0,0,127,0,0,0
VVS  Laxman,155,19,64,44,0,0,0,0,0,0,0,0
Varun  Aaron,0,0,0,0,0,0,35,0,0,0,0,0
Venugopal  Rao,288,124,34,336,132,0,71,0,0,0,0,0
Vidyut  Sivaramakrishnan,145,0,0,0,0,0,0,0,0,0,0,0
Vijay  Shankar,0,0,0,0,0,0,0,0,0,101,212,244
Vijay  Zol,0,0,0,0,0,0,29,0,0,0,0,0
Vinay  Kumar,25,47,27,50,68,70,0,0,13,0,0,0
Virat  Kohli,165,246,307,557,364,634,359,505,973,308,530,464
Virender  Sehwag,406,198,356,424,495,295,455,99,0,0,0,0
Vishnu  Vinod,0,0,0,0,0,0,0,0,0,19,0,0
Washington  Sundar,0,0,0,0,0,0,0,0,0,0,65,0
Wasim  Jaffer,115,15,0,0,0,0,0,0,0,0,0,0
Wayne  Parnell,0,0,0,37,0,0,0,0,0,0,0,0
Wilkin  Mota,26,30,0,0,0,0,0,0,0,0,0,0
Wriddhiman  Saha,159,72,67,68,6,70,362,249,270,234,122,86
Yashpal  Singh,0,47,0,0,0,0,0,0,0,0,0,0
Yogesh  Nagar,0,0,0,111,152,0,0,0,0,0,0,0
Yogesh  Takawale,0,0,0,0,0,0,104,0,0,0,0,0
Yusuf  Pathan,435,243,333,283,194,332,268,312,361,143,260,40
Yuvraj  Singh,299,340,255,343,0,238,376,248,236,252,65,98
Zaheer  Khan,34,0,24,0,0,0,8,0,0,0,0,0
